Epoch,Training Loss,Validation Loss
1,0.6553522236779709,0.5997437922645816
2,0.5712819731649724,0.612232044875193
3,0.555980653633172,0.5710980002399829
4,0.5449686955109185,0.560087695610609
5,0.532284619145445,0.5444043439498051
6,0.5280552287636466,0.5370104516581665
7,0.5125022630479577,0.5526065680620481
8,0.5070990164787761,0.5897393037946962
9,0.49723141419866024,0.5531823729439606
10,0.4871717653630658,0.5178290043803427
11,0.4746230517510688,0.5131096451831378
12,0.45398725118716704,0.5575849969181226
13,0.44159019217971,0.509794756770134
14,0.41527061984077474,0.5237855829780907
15,0.39069471330741684,0.5234664425575476
16,0.36796586305602363,0.5658904927240002
17,0.3390862283562495,0.5489124964467056
18,0.31580017352416195,0.5723203279131608
19,0.29298301663128695,0.5527795650761762
20,0.2772391888746716,0.5405583941250396
