Epoch,Training Loss,Validation Loss
1,0.6075669189625914,0.5256086989915628
2,0.5171454780422393,0.5229737424164367
3,0.49348163116548466,0.5347722537225956
4,0.4896833711582831,0.484996281081824
5,0.4850073140181789,0.48353961560365966
6,0.47278592537833036,0.4692570987365229
7,0.47023990410060656,0.4884466374520775
8,0.461549806694369,0.5616773990847224
9,0.4559022463347077,0.46747747449566135
10,0.4492856607325241,0.4702461851800946
11,0.44297775870948924,0.4622093417661653
12,0.4355371472314807,0.45850300788879395
13,0.4265331358712718,0.4916625061481119
14,0.415094606806978,0.45899998401995185
15,0.40341348587014186,0.46170038574462313
16,0.3921242335589354,0.4553659913136805
17,0.3777666575803223,0.47364095314372356
18,0.35940492862586726,0.4736753652850501
19,0.339804885135661,0.4672873175615887
20,0.31702709847570326,0.4845743359421655
